blue is used,361,1619.93,361,564.202,316,6376.982,316,5241.672,375,7061.962,375,1486.313,375,18362.279,395,5766.904,395,7029.085,395,3902.579,395,419.835,395,10268.004,395,3591.735,305,3999.743,305,800.271,305,540.79,305,196.284,305,3399.598,305,497.473,395,13971.604,395,7131.964,395,6824.51,395,2850.597,395,15116.507,395,11921.268,305,6156.642,305,1500.229,305,3827.133,305,3682.437,305,5073.3,305,9427.634,395,6140.403,375,2620.724,375,22738.711,395,3709.502,305,7885.604,305,16489.201,305,3831.749,375,229.841,380,12471.699,255,5621.518
green is not going to be used,362,1758.655,362,639.636,317,6413.037,317,5307.74,380,7429.305,380,1875.7,380,19172.678,400,5354.347,400,7993.658,400,4555.57,400,420.074,400,12793.445,400,4377.984,310,4085.492,310,846.814,310,570.814,310,205.501,310,3569.562,310,553.711,400,17176.082,400,7867.205,400,7504.989,400,3094.386,400,19093.549,400,14166.455,310,6508.112,310,1653.201,310,4099.486,310,3561.216,310,5609.487,310,10323.827,400,6720.47,380,3774.402,380,23875.816,400,4475.62,310,8946.104,310,17955.723,310,4334.521,380,241.561,385,12276.991,260,6098.286
red needs to used (in appendix),363,1896.529,363,718.002,318,6475.18,318,5365.074,385,7521.039,385,2169.688,385,19090.434,405,5102.971,405,8897.765,405,5197.655,405,422.557,405,15400.083,405,5149.417,315,4174.732,315,963.563,315,644.113,315,210.832,315,3841.174,315,666.703,405,20219.607,405,8669.856,405,8061.923,405,3504.466,405,23038.029,405,16777.146,315,7055.373,315,1894.112,315,4399.892,315,3207.978,315,6336.86,315,11334.82,405,7456.693,385,5115.486,385,24273.215,405,5415.08,315,9612.416,315,17359.463,315,4646.877,385,175.184,390,11673.231,265,5773.788
,364,2020.408,364,801.86,319,6525.499,319,5424.976,390,7369.269,390,2520.82,390,18438,410,4783.643,410,9445.622,410,5655.553,410,429.018,410,17504.279,410,5695.372,320,4245.624,320,1111.468,320,728.325,320,251.062,320,4177.86,320,817.919,410,22619.553,410,9201.954,410,8493.439,410,3964.558,410,26437.225,410,18880.703,320,7595.752,320,2143.793,320,4646.087,320,2963.242,320,7215.93,320,12144.09,410,8116.302,390,6493.613,390,24028.789,410,6284.208,320,10700.528,320,17961.389,320,4939.413,390,150.437,395,10755.661,270,5544.228
,365,2178.097,365,924.894,320,6558.249,320,5484.658,395,7087.6,395,2764.119,395,17342.492,415,4644.913,415,10239.473,415,6216.004,415,452.173,415,19841.707,415,6426.122,325,4296.676,325,1315.903,325,867.109,325,288.946,325,4604.796,325,1056.407,415,25492.687,415,10043.836,415,9116.728,415,4629.236,415,30249.41,415,21439.102,325,8304.114,325,2486.139,325,4928.051,325,2860.672,325,8232.511,325,13053.736,415,9059.117,395,7734.013,395,23079.408,415,7429.486,325,11427.964,325,17704.656,325,5115.656,395,162.986,400,9700.18,275,6065.103
,366,2336.651,366,1025.648,321,6607.214,321,5545.37,400,6654.861,400,2904.855,400,15933.201,420,4179.866,420,9918.699,420,6153.324,420,420.641,420,20290.391,420,6441.952,330,4354.939,330,1734.371,330,1146.827,330,324.129,330,5322.819,330,1419.21,420,25780.137,420,9805.264,420,8883.417,420,4919.016,420,31037.24,420,21909.822,330,9346.375,330,3005.699,330,5261.048,330,2897.323,330,9783.134,330,13950.883,420,9192.711,400,8658.234,400,21801.49,420,7808.043,330,12022.741,330,16579.951,330,5140.44,400,132.422,405,8817.422,280,7538.448
,367,2495.193,367,1140.213,322,6638.204,322,5588.887,405,6318.114,405,3014.475,405,14701.058,425,3521.88,425,8943.328,425,5575.89,425,383.076,425,18882.6,425,5970.5,335,4357.846,335,2629.936,335,1738.069,335,322.754,335,6601.477,335,1959.445,425,23851.516,425,8906.354,425,8052.074,425,4735.208,425,29188.029,425,20559.906,335,10841.541,335,3745.861,335,5615.288,335,3102.41,335,11937.854,335,14899.351,425,8519.456,405,9556.392,405,20802.643,425,7483.004,335,12505.979,335,14626.691,335,5013.86,405,156.088,410,7788.844,285,9073.357
,368,2652.543,368,1252.685,323,6655.902,323,5640.183,410,5817.986,410,3026.547,410,13212.745,430,3185.631,430,8430.28,430,5342.128,430,369.023,430,18653.01,430,5817.381,340,4221.812,340,4330.029,340,2826.18,340,304.448,340,9139.006,340,2841.75,430,23425.443,430,8496.565,430,7716.893,430,4843.864,430,28838.803,430,20234.07,340,13190.875,340,4594.46,340,5903.143,340,3444.387,340,15068.546,340,15778.583,430,8389.029,410,10143.784,410,19438.736,430,7557.148,340,12640.428,340,12576.682,340,4702.155,410,135.985,415,7129.898,290,10179.147
,369,2826.062,369,1388.855,324,6681.116,324,5674.09,415,5586.221,415,3141.015,415,12334.227,435,2755.793,435,7624.579,435,4859.194,435,352.042,435,17319.389,435,5378.137,345,3818.337,345,6317.71,345,3972.845,345,281.591,345,12763.911,345,3953.289,435,21822.383,435,7855.794,435,7128.269,435,4676.625,435,27044.102,435,18971.391,345,16176.276,345,5500.294,345,6155.933,345,3773.125,345,18597.035,345,16554.102,435,7713.667,415,10968.442,415,18946.66,435,7210.956,345,12442.909,345,11099.271,345,4233.425,415,132.017,420,5965.332,295,10818.604
,370,3016.441,370,1528.078,325,6681.171,325,5680.967,420,4895.14,420,2950.081,420,10473.701,440,2391.378,440,6769.676,440,4371.758,440,335.956,440,15854.555,440,4897.312,350,3084.561,350,7748.792,350,4792.59,350,264.198,350,16810.824,350,5051.117,440,19947.148,440,7155.587,440,6509.435,440,4436.935,440,24803.443,440,17579.199,350,18820.498,350,6266.254,350,6400.633,350,3960.27,350,21658.543,350,17151.295,440,7199.046,420,10797.87,420,16868.215,440,6697.731,350,11876.48,350,10130.323,350,3555.071,420,154.141,425,4672.149,300,11170.663
