iad,,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{nmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{nmia},,\gls{nmia},,\gls{nmia},,\gls{nmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{nmia},,\gls{nmia},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iad conc.,,0.000679463,,0.000679463,,0.000679463,,0.000679463,,0.000679463,,0.000679463,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.000564471,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.000564471,,0.000564471,,0.000564471,,0.000564471,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.000564471,,0.000564471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solvent,,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,water,,water,,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,\ce{H2O}/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,\ce{H2O}/\gls{dmso},,water,,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,\ce{H2O}/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,\ce{H2O}/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,water,,water,,\ce{H2O}/\gls{dmso},,\ce{H2O}/\gls{dmso},,\ce{H2O}/\gls{dmso},,\ce{H2O}/\gls{dmso},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k regression value,,0.001359415,,0.000946098,,0.001202705,,0.001381818,,0.00017703,,2.86E-06,,0.001933666,,0.002071023,,0.002045302,,0.00021963,,0.001722292,,0.001730585,,0.001762656,,5.69625E-05,,3.57E-06,,0.002130431,,0.001862958,,0.001932745,,3.05E-06,,0.001973043,,0.001668142,,0.001791222,,3.57E-06,,0.002186875,,0.002179095,,0.002838789,,0.000104047,,1.35506E-05,,0.000125135,,1.16705E-05,,0.000239913,,1.38255E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliability feeling,,okay,,decent,,poor,,poor (decrease at end),,fits,,poor,,okay,,okay,,okay,,fits,,quite poor,,poor,,poor,,fits,,poor,,okay-poor (decrease at end),,okay,,okay,,poor,,okay,,decent,,decent,,poor,,good,,good,,decent,,fits,,fits,,fits,,fits,,fits,,fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximum,,28000,,9800,,24000,,2100,,29200,,7400,,11200,,11700,,12000,,2400,,3400,,3600,,3800,,2400,,2100,,900,,1100,,1100,,1400,,900,,1100,,1100,,1300,,10600,,10800,,10500,,14300,,5600,,6300,,3900,,9900,,2900,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
minimum,,900,,0,,500,,800,,24500,,100,,500,,500,,500,,2200,,1200,,1200,,1100,,2200,,300,,500,,400,,400,,200,,500,,500,,400,,400,,4500,,3000,,2600,,13100,,3400,,5800,,2300,,9500,,1900,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
half life,,509.8862688,,732.6375635,,576.3234062,,501.6196406,,3915.41486,,242472.8242,,358.4626363,,334.6883039,,338.8971933,,3155.97008,,402.4562319,,400.5277247,,393.2402862,,12168.48316,,194222.988,,325.3554064,,372.0680236,,358.6334728,,226964.0594,,351.3086954,,415.5204454,,386.9688507,,193969.1162,,316.9578995,,318.0894041,,244.1700642,,6661.849199,,51152.60087,,5539.177983,,59393.10054,,2889.163168,,50135.24302,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!
temp,,~25,,~25,,~25,,~25,,~25,,~25,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.7,,27.6,,27.6,,27.6,,27.6,,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,,1,,1,,1,,1,,1,,1,,2,,3,,3,,3,,3,,3,,3,,3,,3,,2,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notes,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),Buffer + PDMIA in H2O avg (n=2),time(s),Insulin in Buffer + PDMIA in H2O avg (n=3),time(s),BSA in Buffer + PDMIA in H2O avg (n=3),time(s),H2O + PDMIA in DMSO avg (n=3),time(s),Buffer + PDMIA in DMSO avg (n=3),time(s),Insulin in Buffer + PDMIA in DMSO avg (n=3),time(s),BSA in Buffer + PDMIA in DMSO avg (n=3),time(s),H2O + NMIA in DMSO avg (n=3),time(s),H2O + PDMIA in H2O avg (n=3),time(s),Buffer + PDMIA in H2O avg (n=2),time(s),Insulin in Buffer + PDMIA in H2O avg (n=3),time(s),BSA in Buffer + PDMIA in H2O avg (n=3),time(s),H2O + PDMIA in DMSO avg (n=3),time(s),Buffer + PDMIA in DMSO avg (n=3),time(s),Insulin in Buffer + PDMIA in DMSO avg (n=3),time(s),BSA in Buffer + PDMIA in DMSO avg (n=3),time(s),H2O + NMIA in DMSO avg (n=3),time(s),Buffer + NMIA in DMSO avg (n=3),time(s),Insulin in Buffer + NMIA in DMSO avg (n=3),time(s),BSA in Buffer + NMIA in DMSO avg (n=3),time(s),H2O + PDMIA in H2O avg,time(s),H2O + PDMIA in H2O avg,time(s),H2O + PDMIA in DMSO avg,time(s),H2O + PDMIA in DMSO avg,time(s),H2O + NMIA in DMSO avg,time(s),H2O + NMIA in DMSO avg,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),,time(s),
,0,25297.68833,0,965.5893333,0,21690.186,0,962.797,0,28548.615,0,837.036,0,10130.0195,,,,,0,2338.783,0,3164.186,0,3384.060333,0,3519.817667,0,2306.074,0,477.6263333,0,504.913,0,510.3016667,0,471.1003333,0,331.405,0,541.141,0,529.0893333,0,509.9603333,0,448.027,0,5069.814,0,3751.035333,0,3354.453667,0,14154.80067,0,3631.917,0,6248.312,0,2474.170333,0,9900.850667,0,1990.196667,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
included,8,25171.42833,8,1006.38,8,21608.119,8,972.197,8,28773.545,8,824.007,25,9894.444,25,10612.306,,,25,2364.6405,25,3121.747,25,3308.762333,25,3405.590333,25,2303.9555,25,484.633,25,529.1675,25,522.0633333,25,501.3566667,25,335.3593333,25,560.8583333,25,544.31,25,547.8066667,25,450.1953333,25,5511.315333,25,4251.161333,25,4068.657,60,14176.43867,60,3669.725,60,6269.751333,60,2507.656667,60,9874.154,60,1996.151667,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,
obsolete,16,24960.80733,16,1022.830333,16,21459.59,16,989.834,16,28610.027,16,849.847,50,9577.819,50,10558.72033,50,10831.2325,50,2322.3975,50,3054.964333,50,3196.942,50,3288.836667,50,2325.8775,50,490.067,50,538.2685,50,538.5073333,50,526.192,50,334.1393333,50,570.1286667,50,558.4313333,50,566.4103333,50,456.801,50,5961.669667,50,4780.321667,50,4706.916667,120,14085.175,120,3734.984,120,6223.372333,120,2538.570333,120,9838.399,120,2026.174333,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,,50,
needs to be in appendix,24,24739.90267,24,1058.897,24,21322.906,24,1005.072,24,28619.529,24,860.838,75,9252.3885,75,10175.663,75,10470.54967,75,2362.4385,75,3000.984667,75,3133.793,75,3220.615333,75,2339.7245,75,500.2253333,75,552.06,75,574.262,75,530.4223333,75,343.8136667,75,580.678,75,576.9893333,75,591.059,75,465.648,75,6370.27,75,5233.91,75,5208.353333,180,14010.67,180,3767.016,180,6234.288333,180,2566.832,180,9848.632667,180,2048.345,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,,75,
,32,24507.041,32,1109.693,32,21195.672,32,1008.543,32,28656.342,32,868.691,100,8938.2005,100,9746.22,100,10068.886,100,2364.411,100,2940.459333,100,3069.279,100,3134.057333,100,2338.442,100,509.7166667,100,569.229,100,583.031,100,573.215,100,347.343,100,583.5243333,100,591.3113333,100,599.497,100,462.4803333,100,6728.241667,100,5661.232,100,5680.309667,240,14018.905,240,3815.846667,240,6185.080333,240,2575.750667,240,9791.671667,240,2090.756,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,
